longitude;latitude;housing_median_age;average_rooms;average_bedrooms;average_occupancy;population;median_income;ocean_proximity;median_house_value
-122.3;37.81;52.0;5.4;1.12;3.23;604.0;11667.0;'NEAR BAY';78400.0
-122.3;37.81;48.0;4.38;1.07;2.37;788.0;8056.0;'NEAR BAY';84400.0
-122.29;37.8;52.0;6.99;1.66;3.35;492.0;26094.0;'NEAR BAY';81300.0
-122.3;37.81;52.0;6.98;1.33;3.34;274.0;18516.0;'NEAR BAY';85000.0
-122.29;37.81;46.0;4.58;1.05;2.98;1823.0;9802.0;'NEAR BAY';129200.0
-122.29;37.81;26.0;6.05;1.2;3.09;392.0;17719.0;'NEAR BAY';82500.0
-122.29;37.81;46.0;3.38;1.07;2.1;582.0;7286.0;'NEAR BAY';95200.0
-122.29;37.81;49.0;5.55;1.34;3.68;560.0;17500.0;'NEAR BAY';75000.0
-122.29;37.81;46.0;1.71;0.57;2.57;18.0;4999.0;'NEAR BAY';67500.0
-122.29;37.81;20.0;6.28;1.21;2.18;290.0;24830.0;'NEAR BAY';137500.0
-122.28;37.81;17.0;2.82;1.05;1.74;762.0;9241.0;'NEAR BAY';177500.0
-122.28;37.81;36.0;5.72;1.1;2.43;1236.0;24464.0;'NEAR BAY';102100.0
-122.28;37.81;19.0;5.83;1.17;3.48;721.0;11111.0;'NEAR BAY';108300.0
-122.29;37.81;23.0;5.37;1.15;3.24;1054.0;8026.0;'NEAR BAY';112500.0
-122.28;37.8;38.0;4.41;1.14;2.22;344.0;20114.0;'NEAR BAY';131300.0
-122.28;37.81;17.0;3.2;1.0;2.11;609.0;15000.0;'NEAR BAY';162500.0
-122.27;37.81;52.0;3.75;1.0;3.27;183.0;11667.0;'NEAR BAY';112500.0
-122.28;37.81;52.0;3.91;1.11;2.3;200.0;15208.0;'NEAR BAY';112500.0
-122.28;37.81;52.0;2.49;1.06;2.23;346.0;8075.0;'NEAR BAY';137500.0
-122.28;37.81;35.0;5.61;1.09;2.76;467.0;18088.0;'NEAR BAY';118800.0
-122.28;37.81;52.0;6.72;1.24;3.28;377.0;24083.0;'NEAR BAY';98200.0
-122.27;37.81;40.0;2.32;1.19;1.53;582.0;9770.0;'NEAR BAY';118800.0
-122.27;37.81;10.0;2.65;1.05;1.65;546.0;7600.0;'NEAR BAY';162500.0
-122.27;37.8;10.0;2.69;1.08;3.21;125.0;9722.0;'NEAR BAY';137500.0
-122.27;37.8;52.0;2.93;0.92;4.66;396.0;12434.0;'NEAR BAY';500001.0
-122.27;37.8;16.0;2.75;1.08;2.21;800.0;20938.0;'NEAR BAY';162500.0
-122.28;37.8;52.0;2.44;0.99;10.27;904.0;8668.0;'NEAR BAY';137500.0
-122.28;37.8;52.0;2.82;0.91;5.62;191.0;7500.0;'NEAR BAY';162500.0
-122.27;37.79;27.0;3.49;1.15;2.38;718.0;26354.0;'NEAR BAY';187500.0
-122.27;37.8;39.0;3.67;1.33;2.84;1327.0;18477.0;'NEAR BAY';179200.0
-122.26;37.8;36.0;2.29;1.07;1.49;3469.0;20096.0;'NEAR BAY';130000.0
-122.26;37.82;31.0;3.89;1.13;1.74;2048.0;28345.0;'NEAR BAY';183800.0
-122.26;37.81;29.0;3.68;1.18;2.22;202.0;20062.0;'NEAR BAY';125000.0
-122.26;37.82;22.0;2.95;1.02;1.62;2024.0;12185.0;'NEAR BAY';170000.0
-122.26;37.82;37.0;3.71;1.11;1.88;1838.0;26104.0;'NEAR BAY';193100.0
-122.25;37.81;29.0;3.72;1.13;1.84;2304.0;24912.0;'NEAR BAY';257800.0
-122.25;37.81;28.0;3.88;1.07;1.71;2563.0;32177.0;'NEAR BAY';273400.0
-122.25;37.81;39.0;3.75;1.06;1.71;389.0;31250.0;'NEAR BAY';237500.0
-122.25;37.81;52.0;3.52;1.14;1.46;895.0;25795.0;'NEAR BAY';350000.0
-122.26;37.81;34.0;3.28;1.07;1.5;2689.0;28406.0;'NEAR BAY';335700.0
-122.24;37.82;52.0;6.18;0.92;2.76;674.0;49306.0;'NEAR BAY';313400.0
-122.24;37.81;52.0;4.44;1.06;1.55;709.0;32727.0;'NEAR BAY';268500.0
-122.25;37.81;52.0;4.17;1.09;1.63;686.0;31691.0;'NEAR BAY';259400.0
-122.24;37.82;52.0;4.85;1.05;2.01;1444.0;39000.0;'NEAR BAY';275700.0
-122.25;37.82;28.0;4.16;1.07;1.9;1520.0;39063.0;'NEAR BAY';225000.0
-122.25;37.82;52.0;5.63;1.14;2.17;550.0;50917.0;'NEAR BAY';262500.0
-122.25;37.82;32.0;3.73;1.07;1.77;1806.0;26429.0;'NEAR BAY';218500.0
-122.25;37.82;26.0;3.25;0.98;1.44;1749.0;30233.0;'NEAR BAY';255000.0
-122.25;37.83;52.0;4.58;1.08;1.81;939.0;31484.0;'NEAR BAY';224100.0
-122.25;37.83;35.0;3.82;1.01;1.6;675.0;34722.0;'NEAR BAY';243100.0
-122.25;37.83;52.0;4.4;0.99;1.84;534.0;31429.0;'NEAR BAY';231600.0
-122.25;37.83;28.0;3.02;1.05;1.54;2558.0;24234.0;'NEAR BAY';218500.0
-122.25;37.83;52.0;4.04;1.07;1.72;1786.0;30897.0;'NEAR BAY';234100.0
-122.23;37.84;50.0;6.74;1.07;2.6;970.0;58596.0;'NEAR BAY';327600.0
-122.23;37.84;47.0;6.55;0.94;2.26;1098.0;52868.0;'NEAR BAY';347600.0
-122.24;37.83;41.0;6.85;1.08;2.11;794.0;59560.0;'NEAR BAY';366100.0
-122.24;37.85;37.0;7.11;1.15;2.09;98.0;49643.0;'NEAR BAY';335000.0
-122.23;37.85;52.0;6.95;1.02;2.63;1061.0;63434.0;'NEAR BAY';373600.0
-122.24;37.84;52.0;6.36;1.03;2.12;1177.0;51773.0;'NEAR BAY';389500.0
-122.24;37.85;52.0;7.12;0.99;2.46;901.0;72354.0;'NEAR BAY';391100.0
-122.22;37.85;28.0;5.53;1.1;2.12;2031.0;54570.0;'NEAR BAY';337300.0
-122.22;37.84;50.0;6.13;0.99;2.15;1031.0;75000.0;'NEAR BAY';295200.0
-122.21;37.84;44.0;5.74;1.0;2.27;1358.0;60194.0;'NEAR BAY';292300.0
-122.21;37.83;40.0;7.63;1.03;2.47;1616.0;75544.0;'NEAR BAY';411500.0
-122.2;37.84;30.0;6.45;1.01;2.46;844.0;60666.0;'NEAR BAY';311500.0
-122.21;37.84;34.0;6.12;0.99;2.3;1140.0;70548.0;'NEAR BAY';325900.0
-122.19;37.84;18.0;8.34;1.08;2.75;533.0;116017.0;'NEAR BAY';392600.0
-122.2;37.84;35.0;6.47;1.04;2.42;1072.0;74882.0;'NEAR BAY';319300.0
-122.21;37.83;34.0;6.61;1.03;2.12;1627.0;68976.0;'NEAR BAY';333300.0
-122.19;37.83;28.0;6.98;0.97;2.44;463.0;82049.0;'NEAR BAY';335200.0
-122.2;37.83;26.0;7.53;1.06;2.57;542.0;84010.0;'NEAR BAY';351200.0
-122.19;37.83;29.0;6.66;1.01;2.46;661.0;68538.0;'NEAR BAY';368900.0
-122.19;37.82;32.0;6.98;1.0;2.41;635.0;83170.0;'NEAR BAY';365900.0
-122.2;37.82;37.0;6.98;1.03;2.39;420.0;70175.0;'NEAR BAY';366700.0
-122.2;37.82;39.0;7.54;1.07;2.53;1265.0;63302.0;'NEAR BAY';362800.0
-122.18;37.81;30.0;5.62;0.73;2.42;126.0;63624.0;'NEAR BAY';483300.0
-122.21;37.82;52.0;6.79;0.95;2.32;813.0;70549.0;'NEAR BAY';331400.0
-122.2;37.81;45.0;6.96;1.02;2.5;1067.0;67851.0;'NEAR BAY';323500.0
-122.21;37.8;50.0;5.13;1.1;2.28;1260.0;28929.0;'NEAR BAY';216700.0
-122.21;37.8;38.0;4.63;1.1;1.95;951.0;30812.0;'NEAR BAY';233100.0
-122.21;37.81;52.0;6.2;0.95;2.28;510.0;52402.0;'NEAR BAY';296400.0
-122.22;37.81;52.0;6.4;1.09;2.48;765.0;65217.0;'NEAR BAY';273700.0
-122.22;37.8;52.0;4.75;1.01;2.45;1129.0;32632.0;'NEAR BAY';227700.0
-122.22;37.8;52.0;5.18;1.05;2.43;1073.0;30298.0;'NEAR BAY';199600.0
-122.22;37.8;52.0;5.28;1.05;2.3;1185.0;45428.0;'NEAR BAY';239800.0
-122.22;37.81;52.0;5.95;1.0;2.22;756.0;40720.0;'NEAR BAY';270100.0
-122.22;37.81;52.0;5.65;1.03;1.98;1034.0;53509.0;'NEAR BAY';302100.0
-122.23;37.8;52.0;4.43;1.06;1.71;787.0;31603.0;'NEAR BAY';269500.0
-122.23;37.81;52.0;6.73;1.08;2.87;612.0;47708.0;'NEAR BAY';314700.0
-122.22;37.81;52.0;7.7;1.06;2.69;1021.0;81564.0;'NEAR BAY';390100.0
-122.23;37.81;52.0;8.97;1.13;3.34;861.0;88793.0;'NEAR BAY';410300.0
-122.24;37.81;52.0;7.6;0.96;2.91;953.0;68591.0;'NEAR BAY';352400.0
-122.24;37.81;52.0;5.82;0.93;2.48;634.0;60302.0;'NEAR BAY';287300.0
-122.23;37.81;52.0;7.99;1.04;2.49;878.0;75080.0;'NEAR BAY';348700.0
-122.24;37.81;52.0;4.33;1.14;1.9;918.0;27477.0;'NEAR BAY';243800.0
-122.24;37.8;52.0;5.07;0.96;2.06;360.0;21944.0;'NEAR BAY';211500.0
-122.25;37.8;52.0;4.28;1.05;2.45;1197.0;30149.0;'NEAR BAY';218400.0
-122.24;37.81;52.0;4.85;0.97;2.02;1048.0;36750.0;'NEAR BAY';269900.0
-122.25;37.81;46.0;4.33;1.12;1.84;1373.0;32250.0;'NEAR BAY';218800.0
-122.25;37.8;42.0;4.06;1.05;1.69;1715.0;29345.0;'NEAR BAY';225000.0
-122.25;37.8;43.0;3.27;1.1;1.88;1359.0;21429.0;'NEAR BAY';250000.0
-122.25;37.8;41.0;3.56;1.14;2.57;1062.0;16121.0;'NEAR BAY';171400.0
-122.25;37.8;29.0;3.19;1.12;1.73;1335.0;13929.0;'NEAR BAY';193800.0
-122.24;37.79;27.0;3.8;1.15;2.73;1171.0;23173.0;'NEAR BAY';125000.0
-122.25;37.79;45.0;3.88;1.14;3.21;1475.0;17772.0;'NEAR BAY';97500.0
-122.25;37.79;50.0;3.21;0.96;3.79;742.0;26458.0;'NEAR BAY';125000.0
-122.25;37.79;52.0;3.69;1.08;2.99;1086.0;21810.0;'NEAR BAY';138800.0
-122.25;37.8;36.0;3.09;1.12;3.03;1645.0;22303.0;'NEAR BAY';116700.0
-122.25;37.8;43.0;3.64;1.0;2.66;1710.0;16504.0;'NEAR BAY';151800.0
-122.24;37.8;52.0;4.37;1.0;3.21;731.0;22697.0;'NEAR BAY';127000.0
-122.24;37.8;52.0;4.59;1.07;3.22;1118.0;21563.0;'NEAR BAY';128600.0
-122.24;37.8;52.0;4.73;1.19;3.0;1006.0;21348.0;'NEAR BAY';140600.0
-122.24;37.8;47.0;3.69;1.06;2.19;1213.0;26292.0;'NEAR BAY';182700.0
-122.23;37.8;52.0;4.64;1.12;3.0;772.0;23833.0;'NEAR BAY';146900.0
-122.24;37.8;52.0;4.5;1.05;3.29;1321.0;29570.0;'NEAR BAY';122800.0
-122.24;37.8;49.0;4.19;1.11;2.2;1487.0;25238.0;'NEAR BAY';169300.0
-122.23;37.8;52.0;4.21;0.99;2.62;488.0;19375.0;'NEAR BAY';126600.0
-122.23;37.8;51.0;4.06;1.06;2.42;949.0;19028.0;'NEAR BAY';127900.0
-122.23;37.8;50.0;4.21;1.16;2.77;1149.0;22500.0;'NEAR BAY';123500.0
-122.23;37.8;52.0;4.47;1.07;3.01;844.0;23929.0;'NEAR BAY';111900.0
-122.23;37.79;43.0;4.84;1.09;3.55;4367.0;21917.0;'NEAR BAY';112800.0
-122.23;37.79;52.0;4.33;0.96;4.03;1659.0;29357.0;'NEAR BAY';107900.0
-122.23;37.79;30.0;3.8;1.0;3.84;1011.0;18854.0;'NEAR BAY';137500.0
-122.24;37.79;39.0;3.78;1.11;3.76;1464.0;21638.0;'NEAR BAY';105500.0
-122.24;37.79;47.0;4.53;1.3;4.08;1237.0;21250.0;'NEAR BAY';95500.0
-122.24;37.79;52.0;4.01;1.07;3.85;647.0;33750.0;'NEAR BAY';116100.0
-122.24;37.79;43.0;4.55;1.05;3.6;1284.0;22542.0;'NEAR BAY';112200.0
-122.25;37.79;51.0;3.18;0.78;4.15;228.0;21000.0;'NEAR BAY';75000.0
-122.25;37.79;39.0;3.75;1.05;3.1;381.0;16000.0;'NEAR BAY';112500.0
-122.25;37.79;52.0;3.97;1.04;3.73;846.0;36250.0;'NEAR BAY';125000.0
-122.26;37.8;20.0;3.51;1.15;2.45;1659.0;16929.0;'NEAR BAY';115000.0
-122.22;37.77;52.0;2.83;0.93;3.77;520.0;16471.0;'NEAR BAY';95000.0
-122.22;37.77;52.0;4.39;1.16;3.34;866.0;25900.0;'NEAR BAY';96400.0
-122.23;37.77;52.0;4.2;1.13;3.34;612.0;25700.0;'NEAR BAY';72000.0
-122.23;37.78;52.0;3.75;1.16;3.29;415.0;26429.0;'NEAR BAY';71300.0
-122.23;37.78;52.0;4.05;1.01;4.67;994.0;30257.0;'NEAR BAY';80800.0
-122.22;37.78;50.0;4.03;1.11;3.2;1525.0;14886.0;'NEAR BAY';128800.0
-122.23;37.78;43.0;3.24;1.08;3.44;1506.0;19338.0;'NEAR BAY';112500.0
-122.23;37.78;52.0;3.87;1.01;3.95;1008.0;14844.0;'NEAR BAY';119400.0
-122.23;37.78;44.0;3.12;1.1;3.75;2813.0;16009.0;'NEAR BAY';118100.0
-122.23;37.79;48.0;4.94;1.15;4.32;1481.0;20375.0;'NEAR BAY';122500.0
-122.23;37.79;49.0;5.37;0.99;3.92;859.0;22930.0;'NEAR BAY';106300.0
-122.22;37.79;37.0;4.48;1.1;3.07;1608.0;21494.0;'NEAR BAY';132500.0
-122.23;37.79;30.0;4.36;1.04;3.04;425.0;16198.0;'NEAR BAY';122700.0
-122.23;37.79;40.0;5.05;1.08;3.07;564.0;13281.0;'NEAR BAY';113300.0
-122.22;37.79;44.0;5.47;1.15;3.53;961.0;35156.0;'NEAR BAY';109500.0
-122.22;37.79;52.0;5.0;1.01;3.32;2273.0;39048.0;'NEAR BAY';164700.0
-122.21;37.79;52.0;3.91;0.97;3.08;600.0;30893.0;'NEAR BAY';125000.0
-122.22;37.79;46.0;4.49;1.09;3.13;1647.0;26042.0;'NEAR BAY';124700.0
-122.22;37.79;49.0;4.31;1.06;2.83;1201.0;25000.0;'NEAR BAY';136700.0
-122.22;37.79;38.0;4.63;1.08;3.29;2167.0;27969.0;'NEAR BAY';141700.0
-122.2;37.79;29.0;4.82;1.11;2.76;939.0;28321.0;'NEAR BAY';150000.0
-122.21;37.79;47.0;5.28;1.05;2.94;859.0;29583.0;'NEAR BAY';138800.0
-122.21;37.79;34.0;4.58;1.08;2.94;1517.0;28365.0;'NEAR BAY';139200.0
-122.21;37.79;35.0;4.52;1.06;2.96;1143.0;28750.0;'NEAR BAY';143800.0
-122.21;37.8;39.0;4.32;1.08;2.39;1109.0;30682.0;'NEAR BAY';156500.0
-122.21;37.8;39.0;4.52;1.0;2.74;1221.0;30757.0;'NEAR BAY';151000.0
-122.2;37.8;43.0;6.69;1.1;2.45;1115.0;49559.0;'NEAR BAY';273000.0
-122.2;37.8;52.0;5.77;1.09;2.63;706.0;47721.0;'NEAR BAY';217100.0
-122.21;37.8;52.0;4.98;1.01;2.67;1883.0;34861.0;'NEAR BAY';187100.0
-122.2;37.8;41.0;6.09;1.04;2.36;804.0;51184.0;'NEAR BAY';239600.0
-122.21;37.8;48.0;5.24;1.04;2.01;506.0;40977.0;'NEAR BAY';229700.0
-122.19;37.8;48.0;7.12;1.09;2.56;610.0;47440.0;'NEAR BAY';257300.0
-122.19;37.8;46.0;5.84;1.03;2.31;768.0;42727.0;'NEAR BAY';246900.0
-122.19;37.79;50.0;5.26;1.06;2.51;462.0;29844.0;'NEAR BAY';179900.0
-122.2;37.79;40.0;4.51;1.09;2.84;667.0;41739.0;'NEAR BAY';169600.0
-122.2;37.8;46.0;5.12;1.02;2.65;1059.0;38487.0;'NEAR BAY';203300.0
-122.19;37.8;52.0;6.55;0.98;2.3;637.0;40114.0;'NEAR BAY';263400.0
-122.19;37.79;45.0;5.99;0.99;2.44;1106.0;46563.0;'NEAR BAY';231800.0
-122.19;37.79;28.0;4.7;1.14;2.6;1737.0;29297.0;'NEAR BAY';140500.0
-122.2;37.79;35.0;4.62;1.18;2.59;1009.0;23036.0;'NEAR BAY';126000.0
-122.2;37.79;49.0;4.2;0.93;3.51;737.0;26667.0;'NEAR BAY';122000.0
-122.2;37.79;44.0;3.3;0.92;2.76;1354.0;26190.0;'NEAR BAY';134700.0
-122.21;37.79;45.0;4.46;1.12;3.23;1530.0;24167.0;'NEAR BAY';139400.0
-122.2;37.79;45.0;4.21;1.1;2.94;1410.0;27788.0;'NEAR BAY';115400.0
-122.21;37.78;46.0;3.93;0.89;2.44;1390.0;27352.0;'NEAR BAY';137300.0
-122.21;37.78;52.0;5.49;1.12;3.96;1065.0;18472.0;'NEAR BAY';137000.0
-122.21;37.78;52.0;4.31;0.91;3.23;792.0;26583.0;'NEAR BAY';142600.0
-122.21;37.78;49.0;3.67;1.0;3.18;779.0;30536.0;'NEAR BAY';137500.0
-122.22;37.78;44.0;4.87;1.16;3.72;2269.0;23906.0;'NEAR BAY';111700.0
-122.21;37.78;43.0;4.18;1.13;3.01;1227.0;17188.0;'NEAR BAY';126800.0
-122.21;37.78;47.0;3.66;1.03;3.12;753.0;26250.0;'NEAR BAY';111300.0
-122.22;37.77;40.0;3.66;0.84;4.05;547.0;28015.0;'NEAR BAY';114800.0
-122.22;37.78;50.0;4.04;1.08;4.11;1807.0;17276.0;'NEAR BAY';102300.0
-122.22;37.78;44.0;3.39;1.04;3.43;1700.0;20801.0;'NEAR BAY';131900.0
-122.22;37.78;51.0;4.17;1.18;3.93;1543.0;24890.0;'NEAR BAY';119100.0
-122.21;37.76;52.0;4.73;1.05;3.62;1085.0;17546.0;'NEAR BAY';80600.0
-122.21;37.77;52.0;4.31;1.26;2.58;353.0;40904.0;'NEAR BAY';80600.0
-122.21;37.77;52.0;5.0;1.03;3.17;473.0;26765.0;'NEAR BAY';88800.0
-122.2;37.77;49.0;4.7;1.03;3.36;1621.0;24338.0;'NEAR BAY';102400.0
-122.21;37.77;46.0;3.49;1.06;3.34;1183.0;23309.0;'NEAR BAY';98700.0
-122.21;37.77;43.0;3.67;1.18;3.02;836.0;22604.0;'NEAR BAY';100000.0
-122.19;37.77;42.0;3.54;0.97;3.42;900.0;18039.0;'NEAR BAY';92300.0
-122.2;37.77;39.0;5.01;1.11;3.52;1888.0;22562.0;'NEAR BAY';94800.0
-122.2;37.77;41.0;4.54;1.22;3.0;1024.0;20562.0;'NEAR BAY';102000.0
-122.2;37.78;52.0;5.44;1.05;2.9;1225.0;35398.0;'NEAR BAY';158400.0
-122.2;37.78;39.0;4.66;1.06;2.85;1071.0;31167.0;'NEAR BAY';121600.0
-122.2;37.78;50.0;4.94;1.07;2.98;1128.0;25401.0;'NEAR BAY';129100.0
-122.2;37.77;43.0;5.02;1.04;3.18;1537.0;28980.0;'NEAR BAY';121400.0
-122.21;37.78;44.0;4.4;1.05;3.16;1240.0;23125.0;'NEAR BAY';102800.0
-122.19;37.78;52.0;6.11;1.07;2.79;469.0;28750.0;'NEAR BAY';160000.0
-122.19;37.77;52.0;5.11;1.01;2.56;1086.0;33715.0;'NEAR BAY';143900.0
-122.19;37.77;52.0;5.59;1.07;2.74;1144.0;35114.0;'NEAR BAY';151200.0
-122.19;37.78;52.0;6.65;1.11;2.96;1109.0;43125.0;'NEAR BAY';164400.0
-122.19;37.78;52.0;5.96;1.08;2.67;984.0;32200.0;'NEAR BAY';156500.0
-122.18;37.78;33.0;3.02;0.66;12.23;575.0;38750.0;'NEAR BAY';225000.0
-122.19;37.78;49.0;5.66;0.98;2.37;496.0;52328.0;'NEAR BAY';174200.0
-122.19;37.78;52.0;5.63;1.02;2.92;555.0;37262.0;'NEAR BAY';166900.0
-122.2;37.78;45.0;5.4;1.02;2.66;869.0;45893.0;'NEAR BAY';163500.0
-122.18;37.79;39.0;5.82;0.9;2.23;236.0;52578.0;'NEAR BAY';253000.0
-122.18;37.79;41.0;6.59;1.09;2.93;626.0;70875.0;'NEAR BAY';240700.0
-122.18;37.79;46.0;6.41;1.18;2.8;922.0;39712.0;'NEAR BAY';208100.0
-122.19;37.79;47.0;4.8;0.95;2.27;582.0;29514.0;'NEAR BAY';198100.0
-122.19;37.79;50.0;4.75;1.08;2.72;546.0;26667.0;'NEAR BAY';172800.0
-122.18;37.81;37.0;6.18;0.98;2.33;620.0;54446.0;'NEAR BAY';336700.0
-122.18;37.8;34.0;6.95;1.0;2.27;442.0;62838.0;'NEAR BAY';318200.0
-122.18;37.8;23.0;7.06;1.02;2.91;955.0;67527.0;'NEAR BAY';285800.0
-122.13;37.77;24.0;7.59;0.98;2.83;916.0;70712.0;'NEAR BAY';293000.0
-122.16;37.79;22.0;6.53;1.04;2.53;4985.0;59849.0;'NEAR BAY';371000.0
-122.17;37.78;42.0;5.71;0.97;2.44;651.0;36875.0;'NEAR BAY';157300.0
-122.17;37.77;30.0;4.73;1.06;2.42;1704.0;28750.0;'NEAR BAY';135300.0
