longitude;latitude;housing_median_age;average_rooms;average_bedrooms;average_occupancy;population;median_income;median_house_value
-122.3;37.81;48.0;6.23;1.37;2.95;392.0;25938.0;73500.0
-122.3;37.81;52.0;5.4;1.12;3.23;604.0;11667.0;78400.0
-122.3;37.81;48.0;4.38;1.07;2.37;788.0;8056.0;84400.0
-122.29;37.8;52.0;6.99;1.66;3.35;492.0;26094.0;81300.0
-122.3;37.81;52.0;6.98;1.33;3.34;274.0;18516.0;85000.0
-122.29;37.81;46.0;4.58;1.05;2.98;1823.0;9802.0;129200.0
-122.29;37.81;26.0;6.05;1.2;3.09;392.0;17719.0;82500.0
-122.29;37.81;46.0;3.38;1.07;2.1;582.0;7286.0;95200.0
-122.29;37.81;49.0;5.55;1.34;3.68;560.0;17500.0;75000.0
-122.29;37.81;46.0;1.71;0.57;2.57;18.0;4999.0;67500.0
-122.29;37.81;20.0;6.28;1.21;2.18;290.0;24830.0;137500.0
-122.28;37.81;17.0;2.82;1.05;1.74;762.0;9241.0;177500.0
-122.28;37.81;36.0;5.72;1.1;2.43;1236.0;24464.0;102100.0
-122.28;37.81;19.0;5.83;1.17;3.48;721.0;11111.0;108300.0
-122.29;37.81;23.0;5.37;1.15;3.24;1054.0;8026.0;112500.0
-122.28;37.8;38.0;4.41;1.14;2.22;344.0;20114.0;131300.0
-122.28;37.81;17.0;3.2;1.0;2.11;609.0;15000.0;162500.0
-122.27;37.81;52.0;3.75;1.0;3.27;183.0;11667.0;112500.0
-122.28;37.81;52.0;3.91;1.11;2.3;200.0;15208.0;112500.0
-122.28;37.81;52.0;2.49;1.06;2.23;346.0;8075.0;137500.0
-122.28;37.81;35.0;5.61;1.09;2.76;467.0;18088.0;118800.0
-122.28;37.81;52.0;6.72;1.24;3.28;377.0;24083.0;98200.0
-122.27;37.81;40.0;2.32;1.19;1.53;582.0;9770.0;118800.0
-122.27;37.81;10.0;2.65;1.05;1.65;546.0;7600.0;162500.0
-122.27;37.8;10.0;2.69;1.08;3.21;125.0;9722.0;137500.0
-122.27;37.8;52.0;2.93;0.92;4.66;396.0;12434.0;500001.0
-122.27;37.8;16.0;2.75;1.08;2.21;800.0;20938.0;162500.0
-122.28;37.8;52.0;2.44;0.99;10.27;904.0;8668.0;137500.0
-122.28;37.8;52.0;2.82;0.91;5.62;191.0;7500.0;162500.0
-122.27;37.79;27.0;3.49;1.15;2.38;718.0;26354.0;187500.0
-122.27;37.8;39.0;3.67;1.33;2.84;1327.0;18477.0;179200.0
-122.26;37.8;36.0;2.29;1.07;1.49;3469.0;20096.0;130000.0
-122.26;37.82;31.0;3.89;1.13;1.74;2048.0;28345.0;183800.0
-122.26;37.81;29.0;3.68;1.18;2.22;202.0;20062.0;125000.0
-122.26;37.82;22.0;2.95;1.02;1.62;2024.0;12185.0;170000.0
-122.26;37.82;37.0;3.71;1.11;1.88;1838.0;26104.0;193100.0
-122.25;37.81;29.0;3.72;1.13;1.84;2304.0;24912.0;257800.0
-122.25;37.81;28.0;3.88;1.07;1.71;2563.0;32177.0;273400.0
-122.25;37.81;39.0;3.75;1.06;1.71;389.0;31250.0;237500.0
-122.25;37.81;52.0;3.52;1.14;1.46;895.0;25795.0;350000.0
-122.26;37.81;34.0;3.28;1.07;1.5;2689.0;28406.0;335700.0
-122.24;37.82;52.0;6.18;0.92;2.76;674.0;49306.0;313400.0
-122.24;37.81;52.0;4.44;1.06;1.55;709.0;32727.0;268500.0
-122.25;37.81;52.0;4.17;1.09;1.63;686.0;31691.0;259400.0
-122.24;37.82;52.0;4.85;1.05;2.01;1444.0;39000.0;275700.0
-122.25;37.82;28.0;4.16;1.07;1.9;1520.0;39063.0;225000.0
-122.25;37.82;52.0;5.63;1.14;2.17;550.0;50917.0;262500.0
-122.25;37.82;32.0;3.73;1.07;1.77;1806.0;26429.0;218500.0
-122.25;37.82;26.0;3.25;0.98;1.44;1749.0;30233.0;255000.0
-122.25;37.83;52.0;4.58;1.08;1.81;939.0;31484.0;224100.0
-122.25;37.83;35.0;3.82;1.01;1.6;675.0;34722.0;243100.0
-122.25;37.83;52.0;4.4;0.99;1.84;534.0;31429.0;231600.0
-122.25;37.83;28.0;3.02;1.05;1.54;2558.0;24234.0;218500.0
-122.25;37.83;52.0;4.04;1.07;1.72;1786.0;30897.0;234100.0
-122.23;37.84;50.0;6.74;1.07;2.6;970.0;58596.0;327600.0
-122.23;37.84;47.0;6.55;0.94;2.26;1098.0;52868.0;347600.0
-122.24;37.83;41.0;6.85;1.08;2.11;794.0;59560.0;366100.0
-122.24;37.85;37.0;7.11;1.15;2.09;98.0;49643.0;335000.0
-122.23;37.85;52.0;6.95;1.02;2.63;1061.0;63434.0;373600.0
-122.24;37.84;52.0;6.36;1.03;2.12;1177.0;51773.0;389500.0
-122.24;37.85;52.0;7.12;0.99;2.46;901.0;72354.0;391100.0
-122.22;37.85;28.0;5.53;1.1;2.12;2031.0;54570.0;337300.0
-122.22;37.84;50.0;6.13;0.99;2.15;1031.0;75000.0;295200.0
-122.21;37.84;44.0;5.74;1.0;2.27;1358.0;60194.0;292300.0
-122.21;37.83;40.0;7.63;1.03;2.47;1616.0;75544.0;411500.0
-122.2;37.84;30.0;6.45;1.01;2.46;844.0;60666.0;311500.0
-122.21;37.84;34.0;6.12;0.99;2.3;1140.0;70548.0;325900.0
-122.19;37.84;18.0;8.34;1.08;2.75;533.0;116017.0;392600.0
-122.2;37.84;35.0;6.47;1.04;2.42;1072.0;74882.0;319300.0
-122.21;37.83;34.0;6.61;1.03;2.12;1627.0;68976.0;333300.0
-122.19;37.83;28.0;6.98;0.97;2.44;463.0;82049.0;335200.0
-122.2;37.83;26.0;7.53;1.06;2.57;542.0;84010.0;351200.0
-122.19;37.83;29.0;6.66;1.01;2.46;661.0;68538.0;368900.0
-122.19;37.82;32.0;6.98;1.0;2.41;635.0;83170.0;365900.0
-122.2;37.82;37.0;6.98;1.03;2.39;420.0;70175.0;366700.0
-122.2;37.82;39.0;7.54;1.07;2.53;1265.0;63302.0;362800.0
-122.18;37.81;30.0;5.62;0.73;2.42;126.0;63624.0;483300.0
-122.21;37.82;52.0;6.79;0.95;2.32;813.0;70549.0;331400.0
-122.2;37.81;45.0;6.96;1.02;2.5;1067.0;67851.0;323500.0
-122.21;37.8;50.0;5.13;1.1;2.28;1260.0;28929.0;216700.0
-122.21;37.8;38.0;4.63;1.1;1.95;951.0;30812.0;233100.0
-122.21;37.81;52.0;6.2;0.95;2.28;510.0;52402.0;296400.0
-122.22;37.81;52.0;6.4;1.09;2.48;765.0;65217.0;273700.0
-122.22;37.8;52.0;4.75;1.01;2.45;1129.0;32632.0;227700.0
-122.22;37.8;52.0;5.18;1.05;2.43;1073.0;30298.0;199600.0
-122.22;37.8;52.0;5.28;1.05;2.3;1185.0;45428.0;239800.0
-122.22;37.81;52.0;5.95;1.0;2.22;756.0;40720.0;270100.0
-122.22;37.81;52.0;5.65;1.03;1.98;1034.0;53509.0;302100.0
-122.23;37.8;52.0;4.43;1.06;1.71;787.0;31603.0;269500.0
-122.23;37.81;52.0;6.73;1.08;2.87;612.0;47708.0;314700.0
-122.22;37.81;52.0;7.7;1.06;2.69;1021.0;81564.0;390100.0
-122.23;37.81;52.0;8.97;1.13;3.34;861.0;88793.0;410300.0
-122.24;37.81;52.0;7.6;0.96;2.91;953.0;68591.0;352400.0
-122.24;37.81;52.0;5.82;0.93;2.48;634.0;60302.0;287300.0
-122.23;37.81;52.0;7.99;1.04;2.49;878.0;75080.0;348700.0
-122.24;37.81;52.0;4.33;1.14;1.9;918.0;27477.0;243800.0
-122.24;37.8;52.0;5.07;0.96;2.06;360.0;21944.0;211500.0
-122.25;37.8;52.0;4.28;1.05;2.45;1197.0;30149.0;218400.0
-122.24;37.81;52.0;4.85;0.97;2.02;1048.0;36750.0;269900.0
-122.25;37.81;46.0;4.33;1.12;1.84;1373.0;32250.0;218800.0
-122.25;37.8;42.0;4.06;1.05;1.69;1715.0;29345.0;225000.0
-122.25;37.8;43.0;3.27;1.1;1.88;1359.0;21429.0;250000.0
-122.25;37.8;41.0;3.56;1.14;2.57;1062.0;16121.0;171400.0
-122.25;37.8;29.0;3.19;1.12;1.73;1335.0;13929.0;193800.0
-122.24;37.79;27.0;3.8;1.15;2.73;1171.0;23173.0;125000.0
-122.25;37.79;45.0;3.88;1.14;3.21;1475.0;17772.0;97500.0
-122.25;37.79;50.0;3.21;0.96;3.79;742.0;26458.0;125000.0
-122.25;37.79;52.0;3.69;1.08;2.99;1086.0;21810.0;138800.0
-122.25;37.8;36.0;3.09;1.12;3.03;1645.0;22303.0;116700.0
-122.25;37.8;43.0;3.64;1.0;2.66;1710.0;16504.0;151800.0
-122.24;37.8;52.0;4.37;1.0;3.21;731.0;22697.0;127000.0
-122.24;37.8;52.0;4.59;1.07;3.22;1118.0;21563.0;128600.0
-122.24;37.8;52.0;4.73;1.19;3.0;1006.0;21348.0;140600.0
-122.24;37.8;47.0;3.69;1.06;2.19;1213.0;26292.0;182700.0
-122.23;37.8;52.0;4.64;1.12;3.0;772.0;23833.0;146900.0
-122.24;37.8;52.0;4.5;1.05;3.29;1321.0;29570.0;122800.0
-122.24;37.8;49.0;4.19;1.11;2.2;1487.0;25238.0;169300.0
-122.23;37.8;52.0;4.21;0.99;2.62;488.0;19375.0;126600.0
-122.23;37.8;51.0;4.06;1.06;2.42;949.0;19028.0;127900.0
-122.23;37.8;50.0;4.21;1.16;2.77;1149.0;22500.0;123500.0
-122.23;37.8;52.0;4.47;1.07;3.01;844.0;23929.0;111900.0
-122.23;37.79;43.0;4.84;1.09;3.55;4367.0;21917.0;112800.0
-122.23;37.79;52.0;4.33;0.96;4.03;1659.0;29357.0;107900.0
-122.23;37.79;30.0;3.8;1.0;3.84;1011.0;18854.0;137500.0
-122.24;37.79;39.0;3.78;1.11;3.76;1464.0;21638.0;105500.0
-122.24;37.79;47.0;4.53;1.3;4.08;1237.0;21250.0;95500.0
-122.24;37.79;52.0;4.01;1.07;3.85;647.0;33750.0;116100.0
-122.24;37.79;43.0;4.55;1.05;3.6;1284.0;22542.0;112200.0
-122.25;37.79;51.0;3.18;0.78;4.15;228.0;21000.0;75000.0
-122.25;37.79;39.0;3.75;1.05;3.1;381.0;16000.0;112500.0
-122.25;37.79;52.0;3.97;1.04;3.73;846.0;36250.0;125000.0
-122.26;37.8;20.0;3.51;1.15;2.45;1659.0;16929.0;115000.0
-122.22;37.77;52.0;2.83;0.93;3.77;520.0;16471.0;95000.0
-122.22;37.77;52.0;4.39;1.16;3.34;866.0;25900.0;96400.0
-122.23;37.77;52.0;4.2;1.13;3.34;612.0;25700.0;72000.0
-122.23;37.78;52.0;3.75;1.16;3.29;415.0;26429.0;71300.0
-122.23;37.78;52.0;4.05;1.01;4.67;994.0;30257.0;80800.0
-122.22;37.78;50.0;4.03;1.11;3.2;1525.0;14886.0;128800.0
-122.23;37.78;43.0;3.24;1.08;3.44;1506.0;19338.0;112500.0
-122.23;37.78;52.0;3.87;1.01;3.95;1008.0;14844.0;119400.0
-122.23;37.78;44.0;3.12;1.1;3.75;2813.0;16009.0;118100.0
-122.23;37.79;48.0;4.94;1.15;4.32;1481.0;20375.0;122500.0
-122.23;37.79;49.0;5.37;0.99;3.92;859.0;22930.0;106300.0
-122.22;37.79;37.0;4.48;1.1;3.07;1608.0;21494.0;132500.0
-122.23;37.79;30.0;4.36;1.04;3.04;425.0;16198.0;122700.0
-122.23;37.79;40.0;5.05;1.08;3.07;564.0;13281.0;113300.0
-122.22;37.79;44.0;5.47;1.15;3.53;961.0;35156.0;109500.0
-122.22;37.79;52.0;5.0;1.01;3.32;2273.0;39048.0;164700.0
-122.21;37.79;52.0;3.91;0.97;3.08;600.0;30893.0;125000.0
-122.22;37.79;46.0;4.49;1.09;3.13;1647.0;26042.0;124700.0
-122.22;37.79;49.0;4.31;1.06;2.83;1201.0;25000.0;136700.0
-122.22;37.79;38.0;4.63;1.08;3.29;2167.0;27969.0;141700.0
-122.2;37.79;29.0;4.82;1.11;2.76;939.0;28321.0;150000.0
-122.21;37.79;47.0;5.28;1.05;2.94;859.0;29583.0;138800.0
-122.21;37.79;34.0;4.58;1.08;2.94;1517.0;28365.0;139200.0
-122.21;37.79;35.0;4.52;1.06;2.96;1143.0;28750.0;143800.0
-122.21;37.8;39.0;4.32;1.08;2.39;1109.0;30682.0;156500.0
-122.21;37.8;39.0;4.52;1.0;2.74;1221.0;30757.0;151000.0
-122.2;37.8;43.0;6.69;1.1;2.45;1115.0;49559.0;273000.0
-122.2;37.8;52.0;5.77;1.09;2.63;706.0;47721.0;217100.0
-122.21;37.8;52.0;4.98;1.01;2.67;1883.0;34861.0;187100.0
-122.2;37.8;41.0;6.09;1.04;2.36;804.0;51184.0;239600.0
-122.21;37.8;48.0;5.24;1.04;2.01;506.0;40977.0;229700.0
-122.19;37.8;48.0;7.12;1.09;2.56;610.0;47440.0;257300.0
-122.19;37.8;46.0;5.84;1.03;2.31;768.0;42727.0;246900.0
-122.19;37.79;50.0;5.26;1.06;2.51;462.0;29844.0;179900.0
-122.2;37.79;40.0;4.51;1.09;2.84;667.0;41739.0;169600.0
-122.2;37.8;46.0;5.12;1.02;2.65;1059.0;38487.0;203300.0
-122.19;37.8;52.0;6.55;0.98;2.3;637.0;40114.0;263400.0
-122.19;37.79;45.0;5.99;0.99;2.44;1106.0;46563.0;231800.0
-122.19;37.79;28.0;4.7;1.14;2.6;1737.0;29297.0;140500.0
-122.2;37.79;35.0;4.62;1.18;2.59;1009.0;23036.0;126000.0
-122.2;37.79;49.0;4.2;0.93;3.51;737.0;26667.0;122000.0
-122.2;37.79;44.0;3.3;0.92;2.76;1354.0;26190.0;134700.0
-122.21;37.79;45.0;4.46;1.12;3.23;1530.0;24167.0;139400.0
-122.2;37.79;45.0;4.21;1.1;2.94;1410.0;27788.0;115400.0
-122.21;37.78;46.0;3.93;0.89;2.44;1390.0;27352.0;137300.0
-122.21;37.78;52.0;5.49;1.12;3.96;1065.0;18472.0;137000.0
-122.21;37.78;52.0;4.31;0.91;3.23;792.0;26583.0;142600.0
-122.21;37.78;49.0;3.67;1.0;3.18;779.0;30536.0;137500.0
-122.22;37.78;44.0;4.87;1.16;3.72;2269.0;23906.0;111700.0
-122.21;37.78;43.0;4.18;1.13;3.01;1227.0;17188.0;126800.0
-122.21;37.78;47.0;3.66;1.03;3.12;753.0;26250.0;111300.0
-122.22;37.77;40.0;3.66;0.84;4.05;547.0;28015.0;114800.0
-122.22;37.78;50.0;4.04;1.08;4.11;1807.0;17276.0;102300.0
-122.22;37.78;44.0;3.39;1.04;3.43;1700.0;20801.0;131900.0
-122.22;37.78;51.0;4.17;1.18;3.93;1543.0;24890.0;119100.0
-122.21;37.76;52.0;4.73;1.05;3.62;1085.0;17546.0;80600.0
-122.21;37.77;52.0;4.31;1.26;2.58;353.0;40904.0;80600.0
-122.21;37.77;52.0;5.0;1.03;3.17;473.0;26765.0;88800.0
-122.2;37.77;49.0;4.7;1.03;3.36;1621.0;24338.0;102400.0
-122.21;37.77;46.0;3.49;1.06;3.34;1183.0;23309.0;98700.0
-122.21;37.77;43.0;3.67;1.18;3.02;836.0;22604.0;100000.0
-122.19;37.77;42.0;3.54;0.97;3.42;900.0;18039.0;92300.0
-122.2;37.77;39.0;5.01;1.11;3.52;1888.0;22562.0;94800.0
-122.2;37.77;41.0;4.54;1.22;3.0;1024.0;20562.0;102000.0
-122.2;37.78;52.0;5.44;1.05;2.9;1225.0;35398.0;158400.0
-122.2;37.78;39.0;4.66;1.06;2.85;1071.0;31167.0;121600.0
-122.2;37.78;50.0;4.94;1.07;2.98;1128.0;25401.0;129100.0
-122.2;37.77;43.0;5.02;1.04;3.18;1537.0;28980.0;121400.0
-122.21;37.78;44.0;4.4;1.05;3.16;1240.0;23125.0;102800.0
-122.19;37.78;52.0;6.11;1.07;2.79;469.0;28750.0;160000.0
-122.19;37.77;52.0;5.11;1.01;2.56;1086.0;33715.0;143900.0
-122.19;37.77;52.0;5.59;1.07;2.74;1144.0;35114.0;151200.0
-122.19;37.78;52.0;6.65;1.11;2.96;1109.0;43125.0;164400.0
-122.19;37.78;52.0;5.96;1.08;2.67;984.0;32200.0;156500.0
-122.18;37.78;33.0;3.02;0.66;12.23;575.0;38750.0;225000.0
-122.19;37.78;49.0;5.66;0.98;2.37;496.0;52328.0;174200.0
-122.19;37.78;52.0;5.63;1.02;2.92;555.0;37262.0;166900.0
-122.2;37.78;45.0;5.4;1.02;2.66;869.0;45893.0;163500.0
-122.18;37.79;39.0;5.82;0.9;2.23;236.0;52578.0;253000.0
-122.18;37.79;41.0;6.59;1.09;2.93;626.0;70875.0;240700.0
-122.18;37.79;46.0;6.41;1.18;2.8;922.0;39712.0;208100.0
-122.19;37.79;47.0;4.8;0.95;2.27;582.0;29514.0;198100.0
-122.19;37.79;50.0;4.75;1.08;2.72;546.0;26667.0;172800.0
-122.18;37.81;37.0;6.18;0.98;2.33;620.0;54446.0;336700.0
-122.18;37.8;34.0;6.95;1.0;2.27;442.0;62838.0;318200.0
-122.18;37.8;23.0;7.06;1.02;2.91;955.0;67527.0;285800.0
-122.13;37.77;24.0;7.59;0.98;2.83;916.0;70712.0;293000.0
-122.16;37.79;22.0;6.53;1.04;2.53;4985.0;59849.0;371000.0
-122.17;37.78;42.0;5.71;0.97;2.44;651.0;36875.0;157300.0
-122.17;37.77;30.0;4.73;1.06;2.42;1704.0;28750.0;135300.0
-122.18;37.78;43.0;4.88;1.08;2.67;1085.0;34205.0;136700.0
-122.18;37.78;50.0;5.78;1.13;2.51;713.0;32984.0;160700.0
-122.17;37.78;49.0;4.93;0.98;2.59;468.0;38750.0;140600.0
-122.17;37.78;52.0;5.4;1.06;2.45;296.0;41750.0;144000.0
-122.16;37.77;48.0;5.43;1.08;2.48;446.0;47708.0;156300.0
-122.16;37.77;45.0;6.05;1.03;2.52;968.0;35739.0;176000.0
-122.16;37.77;39.0;5.01;1.1;2.71;857.0;30958.0;145800.0
-122.17;37.77;39.0;5.01;1.06;2.83;912.0;33958.0;141900.0
-122.17;37.77;31.0;5.36;1.18;3.01;1360.0;18710.0;90700.0
-122.17;37.76;41.0;4.49;1.03;3.03;1074.0;19356.0;90600.0
-122.17;37.76;47.0;5.54;1.08;2.53;965.0;21842.0;107900.0
-122.18;37.76;37.0;4.92;1.12;2.92;933.0;22917.0;107000.0
-122.17;37.76;38.0;4.98;1.12;2.79;987.0;24333.0;98200.0
-122.18;37.76;50.0;4.83;1.06;3.69;907.0;19479.0;89500.0
-122.18;37.76;52.0;4.57;1.06;2.71;447.0;39063.0;93800.0
-122.18;37.76;49.0;5.12;1.0;2.88;1299.0;18407.0;96700.0
-122.18;37.77;27.0;5.79;1.5;2.52;396.0;20786.0;97500.0
-122.18;37.77;42.0;4.4;0.96;3.27;877.0;28125.0;97300.0
-122.18;37.76;43.0;5.5;1.11;3.03;1111.0;18913.0;91200.0
-122.19;37.76;49.0;5.09;1.05;2.94;790.0;17056.0;91400.0
-122.18;37.77;52.0;4.95;0.99;2.67;1479.0;22768.0;96200.0
-122.18;37.77;51.0;4.81;1.08;2.68;1173.0;32552.0;120100.0
-122.18;37.77;52.0;4.78;0.99;2.81;1029.0;20556.0;100000.0
-122.19;37.76;52.0;5.78;1.12;2.94;1030.0;24659.0;94700.0
-122.2;37.76;47.0;4.0;0.93;2.96;826.0;17500.0;85700.0
-122.19;37.77;41.0;4.48;1.12;3.11;1412.0;20469.0;89300.0
-122.19;37.77;45.0;5.31;1.13;3.24;1132.0;27159.0;101400.0
-122.19;37.76;41.0;5.79;1.3;3.28;522.0;12083.0;72500.0
-122.19;37.76;45.0;4.2;1.0;2.66;630.0;19250.0;74100.0
-122.2;37.75;36.0;4.56;0.99;3.99;531.0;15809.0;70000.0
-122.2;37.76;37.0;4.02;1.1;2.89;1925.0;14097.0;84600.0
-122.19;37.76;38.0;4.25;1.05;3.26;1144.0;7683.0;81800.0
-122.19;37.75;19.0;4.24;1.09;2.85;1481.0;13194.0;81400.0
-122.19;37.75;28.0;5.28;1.17;2.69;435.0;8012.0;81800.0
-122.19;37.76;26.0;4.27;0.98;3.25;984.0;19479.0;85800.0
-122.19;37.74;36.0;5.33;1.33;3.57;567.0;11765.0;87100.0
-122.18;37.74;42.0;4.4;1.25;3.09;380.0;23456.0;83500.0
-122.19;37.73;44.0;4.37;1.04;3.38;825.0;21538.0;79700.0
-122.19;37.74;43.0;4.56;0.95;2.69;417.0;25139.0;83400.0
-122.19;37.73;45.0;5.32;1.01;2.79;801.0;12625.0;84700.0
-122.18;37.73;42.0;4.59;1.09;3.26;646.0;29063.0;80000.0
-122.18;37.73;43.0;4.88;1.03;3.0;855.0;25192.0;76400.0
-122.18;37.73;44.0;4.03;0.88;3.2;435.0;21111.0;79700.0
-122.18;37.73;42.0;5.22;1.12;3.51;2736.0;24550.0;82400.0
-122.17;37.74;41.0;3.9;1.07;3.58;1481.0;24028.0;97700.0
-122.17;37.74;47.0;3.38;0.98;2.39;327.0;21500.0;97200.0
-122.17;37.74;43.0;4.57;1.08;2.76;494.0;24776.0;101600.0
-122.17;37.73;43.0;4.32;1.09;3.61;1231.0;21587.0;86500.0
-122.18;37.74;35.0;4.62;1.16;2.96;323.0;18438.0;90500.0
-122.17;37.74;46.0;4.56;1.0;3.33;749.0;30298.0;107600.0
-122.17;37.74;46.0;4.32;1.03;3.89;693.0;22500.0;84200.0
-122.18;37.74;46.0;5.94;1.1;3.78;1339.0;22467.0;88900.0
-122.18;37.75;45.0;4.12;0.95;3.52;282.0;40469.0;80700.0
-122.18;37.75;46.0;4.83;1.12;3.18;621.0;13250.0;87100.0
-122.18;37.75;45.0;3.81;1.0;3.47;901.0;21731.0;82000.0
-122.19;37.75;36.0;7.51;1.75;3.21;482.0;19167.0;82800.0
-122.18;37.75;43.0;4.86;1.09;3.06;652.0;20690.0;84600.0
-122.18;37.75;36.0;6.31;1.29;3.92;651.0;17120.0;82100.0
-122.17;37.76;33.0;4.48;1.07;3.49;999.0;25625.0;89300.0
-122.17;37.75;43.0;5.19;1.05;2.96;907.0;19821.0;98300.0
-122.17;37.75;41.0;5.47;1.18;3.6;828.0;25043.0;92300.0
-122.17;37.75;44.0;4.8;0.98;3.0;763.0;23281.0;88800.0
-122.17;37.75;48.0;5.02;1.12;2.68;935.0;14375.0;90000.0
-122.16;37.76;45.0;4.75;1.06;2.97;1437.0;25122.0;95500.0
-122.16;37.75;38.0;5.1;1.29;3.15;1516.0;15625.0;91700.0
-122.17;37.75;47.0;5.39;1.14;3.23;597.0;31587.0;100400.0
